"index","value"
1,-0.996995033670181
2,0.459995318479772
3,-0.0553317194764678
4,1.65387109938765
5,-0.773731005629268
6,-0.613822798007231
7,-0.233986844235742
8,-2.5652556605213
9,0.323933366400971
10,-0.108000081337062
11,0.195359245292863
12,0.485234780616443
13,0.673343202457342
14,-0.20052441961403
15,0.554637294730315
16,0.980501752906886
17,1.66074453803688
18,0.726186439627561
19,0.270735046752497
20,0.75490596729989
21,-0.131097823909985
22,0.322508957999561
23,0.905636700100711
24,0.721223717947394
25,1.66142898892303
26,-1.12342583448399
27,-0.47723786537551
28,-0.555499743853792
29,1.15399432393967
30,-1.10158911245728
31,0.138477579925085
32,-0.18046285021495
33,0.692291045301792
34,0.275847537346604
35,-1.51678578489485
36,-1.13074770894947
37,0.987783179137815
38,-1.15972896069515
39,-0.228903716907904
40,2.17896138406875
41,-1.3855837495191
42,1.51305241894519
43,-0.929913836692864
44,0.222215530139532
45,1.34696217657121
46,-0.433116077797058
47,-1.46390065526986
48,-0.391309066160396
49,-0.24271854228383
50,-1.12766275025453
51,-1.31493215356422
52,0.697493014747362
53,-0.455657708391135
54,0.433857136198168
55,-0.658162998254973
56,-0.433588637412819
57,-0.0284836971215895
58,0.988337547031102
59,1.68856705533649
60,1.90118735913942
61,-1.36208634403354
62,-0.0415707506297143
63,-2.55601610615059
64,-0.802342763645412
65,0.260418000979716
66,-0.854380173504508
67,-0.433070648087666
68,0.123299798204025
69,0.824176183328489
70,0.951991639382126
71,0.644617161170814
72,-1.18459418676539
73,-0.584580178670891
74,-0.575764000460619
75,-1.21410643478176
76,-1.16373239453269
77,0.920703676966003
78,-0.587836038329098
79,-1.84734496479642
80,-0.372979693078965
81,0.298388589410293
82,-0.51419015176815
83,-1.64577913910369
84,-0.146318086507835
85,1.51833957739568
86,-1.00264309567716
87,-0.210649460377865
88,-2.43200471753419
89,-0.580374003231946
90,-1.91779324031837
91,-0.314118857009897
92,-0.388071699267214
93,-0.644360386668465
94,1.49604056511036
95,0.562558149090104
96,0.645378557836652
97,-0.135767014818908
98,0.342664075709873
99,2.01152160125578
100,-0.278869444623525
